id	category	count	nyuId	nyu40id	eigen13id	nyuClass	nyu40class	eigen13class	ModelNet40	ModelNet10	ShapeNetCore55	synsetoffset	wnsynsetid	wnsynsetkey
1	wall	7274	21	1	12	wall	wall	Wall					n04546855	wall.n.01
2	chair	5419	5	5	4	chair	chair	Chair	chair	chair	chair	3001627	n03001627	chair.n.01
3	floor	3910	11	2	5	floor	floor	Floor					n03365592	floor.n.01
4	table	2664	19	7	10	table	table	Table	table	table	table	4379243	n04379243	table.n.02
5	door	1400	28	8	12	door	door	Wall	door				n03221720	door.n.01
6	couch	1222	83	6	9	sofa	sofa	Sofa	sofa	sofa	sofa	4256520	n04256520	sofa.n.01
7	cabinet	1106	3	3	6	cabinet	cabinet	Furniture			cabinet	2933112	n02933112	cabinet.n.01
8	shelf	889	42	15	6	shelves	shelves	Furniture	bookshelf		bookshelf	2871439	n02871439	bookshelf.n.01
9	desk	862	36	14	10	desk	desk	Table	desk	desk	table	4379243	n03179701	desk.n.01
10	office chair	837	5	5	4	chair	chair	Chair	chair	chair	chair	3001627	n04373704	swivel_chair.n.01
11	bed	814	157	4	1	bed	bed	Bed	bed	bed	bed	2818832	n02818832	bed.n.01
12	trashcan	688	12	39	6	garbage bin	otherfurniture	Furniture			trash_bin	2747177	n02747177	ashcan.n.01
13	pillow	608	119	18	7	pillow	pillow	Objects			pillow	3938244	n03938244	pillow.n.01
14	sink	504	24	34	7	sink	sink	Objects	sink				n04223580	sink.n.01
15	picture	467	64	11	8	picture	picture	Picture					n03931044	picture.n.01
16	window	432	59	9	13	window	window	Window					n04587648	window.n.01
17	toilet	402	124	33	7	toilet	toilet	Objects	toilet	toilet			n04446276	toilet.n.01
18	bookshelf	400	88	10	6	bookshelf	bookshelf	Furniture	bookshelf		bookshelf	2871439	n02871439	bookshelf.n.01
19	monitor	395	49	40	7	monitor	otherprop	Objects	monitor	monitor	tv or monitor	3211117	n03782190	monitor.n.04
20	computer	369	46	40	7	computer	otherprop	Objects					n03082979	computer.n.01
21	curtain	356	89	16	13	curtain	curtain	Window	curtain				n03151077	curtain.n.01
22	book	335	1	23	2	book	books	Books					n02870526	book.n.11
23	armchair	318	5	5	4	chair	chair	Chair	chair	chair	chair	3001627	n02738535	armchair.n.01
24	coffee table	303	356	39	6	coffee table	otherfurniture	Furniture	table	table	table	4379243	n03063968	coffee_table.n.01
25	drawer	290	174	39	6	drawer	otherfurniture	Furniture					n03233905	drawer.n.01
26	box	283	26	29	7	box	box	Objects					n02883344	box.n.01
27	refrigerator	269	17	24	6	refridgerator	refridgerator	Furniture					n04070727	refrigerator.n.01
28	lamp	255	144	35	7	lamp	lamp	Objects	lamp		lamp	3636649	n03636649	lamp.n.02
29	kitchen cabinet	252	3	3	6	cabinet	cabinet	Furniture					n02933112	cabinet.n.01
30	dining chair	242	5	5	4	chair	chair	Chair	chair	chair	chair	3001627	n03001627	chair.n.01
31	towel	222	135	27	7	towel	towel	Objects					n04459362	towel.n.01
32	clothes	214	141	21	7	clothes	clothes	Objects					n02728440	apparel.n.01
33	tv	210	172	25	11	television	television	TV			tv or monitor	3211117	n03211117	display.n.06
34	nightstand	206	158	32	6	night stand	night stand	Furniture	night_stand	night_stand			n03015254	chest_of_drawers.n.01
35	counter	196	7	12	6	counter	counter	Furniture	table	table	table	4379243	n03116530	counter.n.01
36	dresser	180	169	17	6	dresser	dresser	Furniture	dresser	dresser			n03015254	chest_of_drawers.n.01
37	countertop	176	7	12	6	counter	counter	Furniture					n03118245	countertop.n.01
38	stool	165	150	40	7	stool	otherprop	Objects	stool				n04326896	stool.n.01
39	cushion	141	119	18	7	pillow	pillow	Objects					n03151500	cushion.n.03
40	plant	139	82	40	7	plant	otherprop	Objects	plant				n00017222	plant.n.02
